ISO3,NAME,D_T_DIFF,LATITUDE,LONGITUDE,Norm_T_Diff
USA,Boca West,-1.36957763975,26.6957999824,-82.1472886558,-0.0407947069856198
BHS,West End,-1.23461904762,26.6797842187,-78.9623335718,-0.0374892457182197
CHN,Nanping,2.88477722307,26.6338200227,118.171357843,0.0834439539918704
PAK,Moro,-1.23316490895,26.6687599396,68.0121891259,-0.0279746310357804
IND,PORSA,-0.23943043178,26.6750627464,78.3756110245,-0.0048297473335255
CHN,Yongbei,-1.05672111313,26.689813495,100.752170727,-0.0395774890739416
CHN,Chengguan,1.80818528972,26.6819087366,105.790559705,0.0581297441883526
CHN,Panzhihua,2.9828569218,26.580948286,101.562599523,0.0949724353544968
IND,MERTA_CITY,-2.08176380318,26.6510395901,74.0466368085,-0.0399189124570445
IND,MotIhari,-2.16426048204,26.6529394277,84.9221570194,-0.0596055286556315
IND,Jogbani,3.71692168028,26.3878338378,87.2520123016,0.108347818660539
NPL,Biratnagar,-1.01285344072,26.5294939898,87.2810844138,-0.0311332255615131
IND,Mariani,-2.97697983422,26.6597218826,94.3277435856,-0.1065172487944337
CHN,Taigong,2.79077372919,26.6813470695,108.312488557,0.0820405502260819
IND,BARI,5.20939434166,26.6453046638,77.6242545435,0.1220670815339969
IND,BAKEWAR,2.599475,26.6599642301,79.1674380336,0.0596553291000094
IND,PHAPHUND,-1.03448460334,26.6314050102,79.5223860489,-0.0222984784039054
NPL,Jaleshwar,-0.961497555918,26.6538574431,85.8104441358,-0.0236652018535219
IND,TANGLA,0.352366159947,26.6589069169,91.9159187466,0.0109924527274721
BHS,High Rock,1.46357219251,26.6378084332,-78.254790765,0.0425780343714132
CHN,Qingzhou,0.969809954465,26.588064285,117.993326501,0.0277422915140758
CHN,Qingzhen,1.30219383938,26.5616029623,106.444227006,0.0386191899847934
IND,KISHANGARH,-0.510557668787,26.5870540811,74.8636282937,-0.0101263333775613
LBY,Awbari,-0.0122935836282,26.5923061866,12.7875338088,-0.0002225802343427
IND,KANPUR,-2.55600364393,26.4731267511,80.2978238544,-0.059530074413373
CHN,Kaili,3.34180699977,26.5919638327,107.975395506,0.0973884344376742
IND,CHAKSU,5.21462168267,26.6069570888,75.9511258382,0.1210223009634501
IND,GORMI,0.944282647892,26.6023020783,78.5157784224,0.0192057084125122
IND,SITAMARHI,-0.454778623188,26.5933838019,85.5102669061,-0.0116634689878546
CHN,Xiamadu,2.02954849353,26.595909377,111.858322143,0.0508819179655816
CHN,Fengdu,2.13875450763,26.6199712366,118.653560483,0.0608666079490362
BHS,Freeport,1.79576304552,26.5538598984,-78.6790142031,0.0535365060576297
IND,BHIND,-0.0547417802073,26.5676607399,78.795122821,-0.0011615610860274
IND,Tanda,-4.55954056977,26.5663755196,82.6361302322,-0.112409653123941
IND,DHUPGURI,2.28634408602,26.5872901522,89.0173269342,0.0726438493758447
CHN,Chengguan,0.521409295352,26.5869217243,107.233321812,0.0157162631102469
CHN,Songji,2.13076923077,26.5827411889,118.74770382,0.059686698700756
CHN,Changpu,2.36121212121,26.5875761708,110.156174645,0.0686465390408289
IND,LALSOT,5.68419184306,26.5664362931,76.3364949181,0.1718728423098407
IND,Jaynagar,-7.32254366197,26.5864957136,86.1434888424,-0.1795667813924649
CHN,Zhehai,1.00919767214,26.5660815168,103.62691907,0.032762450865394
CHN,Quyang,2.51481217428,26.5750353074,109.69018877,0.0709919218046641
IND,MAINAGURI,-1.28040988547,26.5679880238,88.8313371742,-0.0425372821996475
IND,GOSAINGANJ,1.33693895871,26.5724118618,82.3837401198,0.033450183068138
CHN,Jinggangshan,0.775103448276,26.5682882868,114.16306358,0.0244940568295582
BHS,Marsh Harbour,0.951006184189,26.5176991347,-77.0827778916,0.0302514291468595
IND,JHINJHAK,0.198592592593,26.5642175316,79.7407317928,0.0042786534929162
NPL,Bhadrapur,-26.3362668919,26.556799828,88.0836114028,-0.9211096275640642
NPL,Rajbiraj,0.526491881566,26.5417174419,86.753323641,0.0129546422894995
IND,JALPAIGURI,0.807926727937,26.533245285,88.7182687669,0.0254353050291534
MEX,Ciudad Sabinas Hidalgo,2.71794353943,26.5082600061,-100.172952418,0.0549406553893844
SAU,Buraidah,-0.16298014019,26.1416756062,43.8545130298,-0.0028676108100909
IND,ALIPURDUAR,2.08249565217,26.5056546045,89.5371989961,0.0678952162600009
CHN,Fengshan,1.52008270945,26.5045599236,119.542186934,0.0437983553563211
DZA,,0.442711367523,26.5065952935,8.4865739809,0.0076850728271266
IND,AJMER,-1.87016477905,26.4604591481,74.6414023277,-0.0378799276855077
IND,DEORIA,-9.31385548814,26.5055159317,83.785872986,-0.2675596720265327
IND,FALAKATA,1.66976394353,26.5228856176,89.2035805391,0.0521370401945804
IND,Golaghat,2.52316928865,26.5117874475,93.9794677054,0.0766429665772263
IND,Kharupatia,0.846106649534,26.5215407597,92.1568068627,0.0284012598676809
USA,Raymondville,-0.809455128205,26.4630853771,-97.7755372672,-0.0165765801245104
IND,KARAULI,-3.04447534952,26.4969958581,77.0316556063,-0.0646696219886644
IND,MEHGAON,0.152552013743,26.5018075188,78.6099348632,0.0030941570791264
IND,Bijni,1.89958422175,26.5009225931,90.7071323789,0.0593532866474367
CHN,Meijiang,3.41591027465,26.4742389948,116.02454012,0.0949734217135642
IND,AURAIYA,-3.01060485189,26.4608978733,79.5179781577,-0.0661283311184195
IND,RURA,0.278514840799,26.4843965118,79.9046474711,0.0060702322321899
IND,SARBHOG,0.81185840708,26.4809141399,90.8899759138,0.0267603209838666
CHN,Furong,0.533506708761,26.4643970626,114.785218103,0.0142859784678984
IND,Gopalganj,-1.53037994631,26.4637899231,84.4451828115,-0.0405944658450662
USA,Immokalee,1.24448548141,26.4264865024,-81.4143532122,0.0374242386756989
IND,GOHAD,-0.386885748467,26.4368600482,78.4468752604,-0.0077938833784157
IND,Basugaon,1.17889446159,26.4482454059,90.3757706284,0.0346044953902094
IND,TIHU,-0.721632919006,26.4483173112,91.4448170568,-0.0210452638005139
IND,Rangia,1.77003489956,26.4446469693,91.6213287619,0.0541893238716596
CHN,Jinding,3.78087805334,26.4445232738,99.4191823803,0.2002381267169558
CHN,Longshan,2.57335789474,26.4628286359,106.97498703,0.080589588416841
USA,Brownsville,-0.856309141134,26.2028430168,-98.0356672339,-0.0175586069992563
MEX,Reynosa,-0.894670902488,26.0631468555,-98.1964133838,-0.0182533335017082
PAK,Sehwan,-1.22757678123,26.4288356997,67.8727751791,-0.0236107824485367
IND,Mangaldoi,0.425915966387,26.4434660938,92.0360184637,0.0139357149024205
